Event Name,Event Description,Event Start Date,Event Start Time,Event End Date,Event End Time,All Day Event,Event Venue Name,Event Category,Event Website
A Persistence of Cormorants Poetry Reading,"A Persistence of Cormorants is a summer-long poetry reading series on our shoreline featuring accomplished and exceptional poets from the New York area, many of who live in Brooklyn. On each of the scheduled Sundays, from 1:30 to 3:30, up to four featured poets will read for 10 to 15 minutes each. Gerry reads poetry at the canal The readings will be followed by open mic time limited to ten readers (one poem no longer than 3 minutes) who have signed up the day of the reading on a first come basis. Reading will be outdoors at the Gowanus open shoreline and we invite you to engage with the emerging Gowanus Canal habitat as we witness the EPA conduct their SuperFUN/d cleanup program. Event may move to inside the boathouse if it begins to rain or we want to escape the summer heat. If other activity is occurring on the street or esplanade, event may move inside. Participation is free but we encourage donations to sustain the efforts of the Gowanus Dredgers Canoe Club, an advocacy stewardship organization who has been representing neighborhood interests for over two decades. May17 Linda Lerner, Patricia Carrigton, Abigail Welhouse, Bill Lessard June7 Susan Michele, Gregory Crosby, Melinda Wilson, Dennis Nurkse14 Donna Masini, Richard Smith, Maria Lisella, Elizabeth T Gray Jr.28 Elaine Sexton, Karen Hildebrand, Don Yorty, Judith Lee Herbert July12 David Katz, Estha Wiener, Shean Nevin, Katherine Swett19 Sarah Wallace, Ashley Mabitt, Zoe White, and Michael T. Young26 Broadstone Books: S.H. Case, Myra Malkin, Vera Salter, Stephanie Laterza, David Mills, Lucia Cherclu August2 Jiwon Choi, Amy Holman, Miranda Beeson, Sarah Sarai9 Kimiko Hahn, Joanne Solfrian, Sam Cha, Mervyn Taylor16 KGB: John Demming, Selena Spier, Tyler Allen, Penny Susan Lewis, Jada Gordon23 Karen Neuberg, Scott Hightower, Indran Amirthanayagam, Neil Shepard30 Titanic September13 Hilary Sideris, Tom Sleigh, Austin Alexis, Kristine Esser-Slentz20 Joanne McFarland, Ruth Danon, Brad Vogel, David Formanek27 Amy Lemmon, Jane Rosenberg LaForge, Richard Levine, Nicole Callihan October4 Lisa Andrews, Lisa Badner, Arden Levine, Anthony Capo11 Broadstone Books: Amy Barone, Margo Taft Stever, Billy Cancel, Mary Moloney",2026-09-20,,2026-09-20,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/a-persistence-of-cormorants-poetry-reading-3/2026-09-20/
Monthly Meeting + Paddle,"Socialize with the Dredgers at our BUNKER (2 19th St, off of 3rd Ave) for a casual member catch-up and paddle! We’ll gather at 6:30 for some chatting and aim to be on-water around 7:15. Meet at the Gowanus Dredgers Canoe Club 19th St. Launch, 2 19 St, Brooklyn, (off of 3rd Ave.). If you plan to join the paddle, wear sunscreen and bring a bottle filled with water. Close-toed shoes are recommended, and wear clothing you don’t mind potentially being splashed. Use a restroom before arrival, as we have limited facilities on-site. All paddlers must sign a waiver. Weather (wind, waves or evidence of storm) may cancel the paddling portion with one hour advance notice. In case of inclement weather, meeting will be relocated follow us on Instagram or sign up for our mailing list to stay informed.",2026-09-21,,2026-09-21,,1,NY,Arts & Culture,https://gowanusdredgers.org/event/monthly-meeting-paddle-2/2026-09-21/
Gowanus Jug & String Band Sessions,"Tuesday evenings, 6-8:30 April through October. At the Gowanus Dredgers Boathouse 165 2nd Street between Bond and the Gowanus Canal. We are excited to expand our musical offerings with this new weekly jam. Dredger Host: Liz Rabson Schnore Jam Leader: Papa Ernie Vega What Jug band and String band music? Let’s start with String band music. Black String band music, which will be our focus, was created by Southern Blacks and pre-dates the Blues & Jazz. Groups which consisted of mostly stringed instruments (guitar, banjo, bass, violin, mandolin, ukulele, etc) performed a wide variety of songs and styles for all manner of social functions and for personal enjoyment; two-steps, waltzes and breakdowns for dances, ballads and love songs, humorous & novelty songs, as well as blues, jazz, and pop tunes as they came into fashion. This genre, sadly, was under-represented by the burgeoning recording industry in the 1920’s and 30’s, which helped contribute to its already declining popularity in the wake of the success of the Blues and Jazz: though groups like the Mississippi Sheiks and the Dallas String Band did make great and popular recordings. The genre never completely died out, however, and is alive and well today thanks to the perseverance of its practitioners and the dedication of its fans, which has led to a rediscovery and a new appreciation by audiences young and old. Jug band music developed in the early 20th century within Southern Black communities and was essentially a string band with a jug used as a “poor man’s tuba”, in the role of a bass instrument. Other household items as instruments were popular as well; washboard and/or spoons for percussion, washtub bass, and kazoo. These combined with the guitars, banjos, mandolins/violins of the traditional string band, along with the harmonica, made for a unique sound that won the hearts of the public in the early days of the recording industry. The Memphis Jug Band and Cannon’s Jug Stompers recorded well over a hundred examples of blues, ballads, pop and dance numbers – and they’re just the tip of the iceberg. The genre found new life in the Folk Music Revival of the 1960’s and remains popular to this day. These sessions will be open to Intermediate and above players, and we encourage you to sing along and bring a song to lead. To lead a song, you will be expected to sing it loudly enough for those around you to hear, to know the key you will sing in, and to explain the chord changes and form of the song if need be. We may also discuss some ideas for performing in an ensemble to help everyone find their place in the music. Papa Ernie Vega is a NYC singer, instrumentalist, bandleader, teacher, songwriter and performing/recording artist. He has over 20 years of professional experience and has performed at the Newport Folk Festival, the Jug Band Jubilee and the Osaka Jug Band Festival. He also taught and performed at the Port Townsend Acoustic Blues Festival from 2016-2021. He is a lover of fine cheap food, old movies, humor, and photography. More information on all the Boathouse Jams HERE",2026-09-22,,2026-09-22,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/gowanus-jug-string-band-sessions-3/2026-09-22/
Boathouse Bluegrass Jam,"The Boathouse Jam every Wednesday evening 6-8:30 April-Oct. Just come, bring an acoustic instrument. The Boathouse Jam is hosted by the Gowanus Dredgers Canoe Club to activate our shoreline while fostering the continued resurgence of acoustical collaborations in Brooklyn. We are inclusive of all – young & old, new & seasoned musicians. Just bring a smile and your musical instrument and/or your voice to join our one night makeshift band. Free but a $5 suggested donation is encouraged, limited beverages are provided. The Boathouse is located at 165 2nd Street, Brooklyn NY between Bond Street and the Gowanus Canal. Sessions are rain or shine, we gather outside the Boathouse unless it’s cold or raining then we move inside. Since 1999, the Dredgers have empowered people to care for the Gowanus Canal through advocacy, conservation, and education. Our organization promotes waterfront stewardship and is raising awareness of sewer overflow issues that affect our Gowanus Canal in Brooklyn, NY. More information on all the Boathouse Jams HERE",2026-09-23,,2026-09-23,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/boathouse-bluegrass-jam-2/2026-09-23/
10th Annual Gowanus Dawn Reading,"Our 10th annual Gowanus Dawn Reading! Join us for the Poetry of Poe in canoes on the Gowanus Canal! Readers: Arrive at 7:00AM for boat launch. Request spot as a canoe reader in advance: poetsafloatnyc[@]gmail.com. (Launch location TBD) Audience: 7:45AM arrival to our reading location to hear via bridge and land. Location to be announced. Follow us on social media and/or sign up for our email list to get full details, we’ll update here when the locations are confirmed. Dredgers Captain Emeritus Brad Vogel & performer Melody Bates lead the colorful crew.",2026-09-25,,2026-09-25,,1,NY,Arts & Culture,https://gowanusdredgers.org/event/10th-annual-gowanus-dawn-reading/
On Location with Artichoke Dance | Robin Michals,"On Location with Artichoke Dance is a solo exhibition by Brooklyn-based photographer Robin Michals. Curated by Pam Wong, the exhibit showcases photographs of Artichoke Dance Company performing the Immersive Performance Tours of Gowanus conceived by Lynn Neuman in 2021, and co-hosted annually with various environmental and social justice organizations. The photographs on view feature Artichoke dancers moving through Gowanus in space and time and include images at the defunct Salt Lot in 2021 and the new 420 Carroll Street development in 2026. Michals merges the genres of dance photography and urban landscape photography in vibrant shots that capture the performances as well as the evolution of the neighborhood. The photos juxtapose the dancers as they work together to create patterns and shapes against a backdrop of the transforming waterfront. The photos offer an interpretation of the performances as a positive vision of urban life that values art, collaboration, and environmental awareness. In addition, there is a portrait of Neuman, in costume, on the tipping floor at SIMS Municipal Recycling, taken for Michals and Neuman’s collaborative project Waste Side Story. Michals and Neuman met in 2018 through a residency offered by Works on Water and Underwater New York on Governors Island. Michals, who had been working on environmental issues for 15 years, was struck by Lynn’s upcycling of plastic bags into costumes, and the pair began to work together to make images of a dancer wearing the costumes at locations that reflect the lifecycle of plastics from production to various end points including landfills and oceans. Several of these images were exhibited at The Old Stone House in 2021. Robin shifted her focus to dance photography after the pandemic, starting with her work with the Times Square Project in 2020 and 2021. For Robin, photographing the Artichoke Dance tours is an incredible opportunity to bring together her longstanding love of urban landscape photography and her much more recent, but no less profound, love of dance photography. —————- ON LOCATION WITH ARTICHOKE DANCE On view Saturdays: Sept 12, 19, 26 and Oct 3 from 1-5pm ON LOCATION WITH ARTICHOKE DANCE Programs: Sept. 12 (2:00–2:30pm): Video screening of Immersive Performance Tour Highlights: 2021–2026 with Artichoke Dance Company Sept. 12 (2:30-4:30pm): Join a guided tour using the Gowanus Augmented Reality Walking Tour App featuring animated virtual environments of the past as visual overlays on the canal-scape, as well as the Underground Waterways Soundwalk where voices from the past murmur and sing, led by Sarah Drury, Project Director. iPads and headphones provided, or download to your iPhone. The 20-minute tour will be available from 2:30-4:30pm. Sept. 19 (2:00pm): Pop-up performance by Artichoke Dance Company Sept. 26 (2:00pm): Pop-up performance by Artichoke Dance Company Sept. 26 (2:30pm): Role of the Arts in Change Making: A Conversation with Naturally Occurring Cultural Districts of New York Oct. 3 (2:00pm): Pop-up performance by Artichoke Dance Company —————- About the Artist: Robin Michals is a photographer who specializes in dance and performance. She is completely omnivorous when it comes to dance with an interest in all forms from folkloric to street dance. Her clients include the international Human Rights Arts Festival and the Queensboro Dance Festival among many others. In 2025, she had a public installation of photos of dancers at the party Vinyl Nights in Albee Square in Downtown Brooklyn, sponsored by Downtown Brooklyn Partnership. Her work has also been in numerous publications including Hyperallergic, Queens Chronicle, and Time Out. Before shifting her focus to performance, she spent 15 years documenting environment issues including climate change and the fossil fuel industries. She was raised in Manhattan and moved to Brooklyn in the last century. Robin has taught photography at City Tech, CUNY, where her students are from all over the world, for 23 years. For more info: www.robinmichals.com About Artichoke Dance: Artichoke Dance Company, based in Brooklyn, NY, is known for innovative and engaging performances paired with environmental activism, education, community building and civic engagement. Previous large-scale projects have addressed plastic pollution mitigation on Coney Island, single use plastic bags in New York, sea level rise and climate migration, the remediation of the Gowanus Canal, river revitalization in Los Angeles, and water use and rights in the desert southwest. Under the Direction of Lynn Neuman, Artichoke Dance Company also annually produces an Eco-Arts Festival during NYC Climate Week on Governors Island, bringing visual and performing arts and climate consciousness together through participatory workshops, exhibitions, and performances. Neuman began Artichoke’s Immersive Performance Tours of Gowanus drawing on her many years of experience organizing with the Gowanus Neighborhood Coalition for Justice. Artichoke’s ecoarts activism training program, Artichoke Ambassadors, and fellowship program, Arts Incubator for Change Making, trains and mentors the next generation of ecoarts activists. Incorporated as a non-profit in 1999, Artichoke Dance has held 23 New York seasons and toured nationally and internationally. For more info: www.artichokedance.org.",2026-09-26,,2026-09-26,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/on-location-with-artichoke-dance-robin-michals/2026-09-26/
Full Moon Gowanus Voyage - SEPTEMBER,"Join our Crew on a full-moon guided adventure!! Meet at the the Gowanus Dredgers Bunker, at the end of 19th St / off 3rd Ave, 11232 – NOT our 2nd St. boathouse. 🎟️ Tickets required, get yours here. 🎟️ (Tickets go on sale Tuesday, September 1 at 12:00 PM) Sunset 18:36 |Moonrise 18:34 | Civil End 19:13 | Nautical End 19:45 The stars should be on display along with harbor lights. We will provide lights for each canoe, you’re welcome to bring/wear your own head lamp as well. Each canoe will have up to 3 people. Solo paddlers are welcome, you will be paired with other members of the group based on experience and comfort in a canoe. Close-toed shoes are recommended, and wear clothing you don’t mind potentially being splashed. Use a restroom before arrival, as we have limited facilities on-site. Due to EPA cleaning of the Gowanus Canal, voyage will head towards the 9th St bridge and return to Gowanus Bay and our new South Gowanus Bunker. If raining or threatening weather (high winds, lightning) by 5:00 pm we may cancel. Attendees will be notified via the email used to purchase tickets. Tour is not cancelled due to clouds but let’s hope for a clear sky for the moon rise! Tickets are nonrefundable for any event that proceeds as planned. We will offer the option to transfer your ticket to another event if we have to cancel for weather. Transfer must be requested before the tour starts. If you choose not to transfer, the cost of your ticket becomes a tax-deductible donation to the Gowanus Dredgers.",2026-09-26,,2026-09-26,,1,"Gowanus Dredgers Bunker (19th St.), 2 19th St., Brooklyn, NY",Arts & Culture,https://gowanusdredgers.org/event/full-moon-gowanus-voyage-september-2/
A Persistence of Cormorants Poetry Reading,"A Persistence of Cormorants is a summer-long poetry reading series on our shoreline featuring accomplished and exceptional poets from the New York area, many of who live in Brooklyn. On each of the scheduled Sundays, from 1:30 to 3:30, up to four featured poets will read for 10 to 15 minutes each. Gerry reads poetry at the canal The readings will be followed by open mic time limited to ten readers (one poem no longer than 3 minutes) who have signed up the day of the reading on a first come basis. Reading will be outdoors at the Gowanus open shoreline and we invite you to engage with the emerging Gowanus Canal habitat as we witness the EPA conduct their SuperFUN/d cleanup program. Event may move to inside the boathouse if it begins to rain or we want to escape the summer heat. If other activity is occurring on the street or esplanade, event may move inside. Participation is free but we encourage donations to sustain the efforts of the Gowanus Dredgers Canoe Club, an advocacy stewardship organization who has been representing neighborhood interests for over two decades. May17 Linda Lerner, Patricia Carrigton, Abigail Welhouse, Bill Lessard June7 Susan Michele, Gregory Crosby, Melinda Wilson, Dennis Nurkse14 Donna Masini, Richard Smith, Maria Lisella, Elizabeth T Gray Jr.28 Elaine Sexton, Karen Hildebrand, Don Yorty, Judith Lee Herbert July12 David Katz, Estha Wiener, Shean Nevin, Katherine Swett19 Sarah Wallace, Ashley Mabitt, Zoe White, and Michael T. Young26 Broadstone Books: S.H. Case, Myra Malkin, Vera Salter, Stephanie Laterza, David Mills, Lucia Cherclu August2 Jiwon Choi, Amy Holman, Miranda Beeson, Sarah Sarai9 Kimiko Hahn, Joanne Solfrian, Sam Cha, Mervyn Taylor16 KGB: John Demming, Selena Spier, Tyler Allen, Penny Susan Lewis, Jada Gordon23 Karen Neuberg, Scott Hightower, Indran Amirthanayagam, Neil Shepard30 Titanic September13 Hilary Sideris, Tom Sleigh, Austin Alexis, Kristine Esser-Slentz20 Joanne McFarland, Ruth Danon, Brad Vogel, David Formanek27 Amy Lemmon, Jane Rosenberg LaForge, Richard Levine, Nicole Callihan October4 Lisa Andrews, Lisa Badner, Arden Levine, Anthony Capo11 Broadstone Books: Amy Barone, Margo Taft Stever, Billy Cancel, Mary Moloney",2026-09-27,,2026-09-27,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/a-persistence-of-cormorants-poetry-reading-3/2026-09-27/
Gowanus Jug & String Band Sessions,"Tuesday evenings, 6-8:30 April through October. At the Gowanus Dredgers Boathouse 165 2nd Street between Bond and the Gowanus Canal. We are excited to expand our musical offerings with this new weekly jam. Dredger Host: Liz Rabson Schnore Jam Leader: Papa Ernie Vega What Jug band and String band music? Let’s start with String band music. Black String band music, which will be our focus, was created by Southern Blacks and pre-dates the Blues & Jazz. Groups which consisted of mostly stringed instruments (guitar, banjo, bass, violin, mandolin, ukulele, etc) performed a wide variety of songs and styles for all manner of social functions and for personal enjoyment; two-steps, waltzes and breakdowns for dances, ballads and love songs, humorous & novelty songs, as well as blues, jazz, and pop tunes as they came into fashion. This genre, sadly, was under-represented by the burgeoning recording industry in the 1920’s and 30’s, which helped contribute to its already declining popularity in the wake of the success of the Blues and Jazz: though groups like the Mississippi Sheiks and the Dallas String Band did make great and popular recordings. The genre never completely died out, however, and is alive and well today thanks to the perseverance of its practitioners and the dedication of its fans, which has led to a rediscovery and a new appreciation by audiences young and old. Jug band music developed in the early 20th century within Southern Black communities and was essentially a string band with a jug used as a “poor man’s tuba”, in the role of a bass instrument. Other household items as instruments were popular as well; washboard and/or spoons for percussion, washtub bass, and kazoo. These combined with the guitars, banjos, mandolins/violins of the traditional string band, along with the harmonica, made for a unique sound that won the hearts of the public in the early days of the recording industry. The Memphis Jug Band and Cannon’s Jug Stompers recorded well over a hundred examples of blues, ballads, pop and dance numbers – and they’re just the tip of the iceberg. The genre found new life in the Folk Music Revival of the 1960’s and remains popular to this day. These sessions will be open to Intermediate and above players, and we encourage you to sing along and bring a song to lead. To lead a song, you will be expected to sing it loudly enough for those around you to hear, to know the key you will sing in, and to explain the chord changes and form of the song if need be. We may also discuss some ideas for performing in an ensemble to help everyone find their place in the music. Papa Ernie Vega is a NYC singer, instrumentalist, bandleader, teacher, songwriter and performing/recording artist. He has over 20 years of professional experience and has performed at the Newport Folk Festival, the Jug Band Jubilee and the Osaka Jug Band Festival. He also taught and performed at the Port Townsend Acoustic Blues Festival from 2016-2021. He is a lover of fine cheap food, old movies, humor, and photography. More information on all the Boathouse Jams HERE",2026-09-29,,2026-09-29,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/gowanus-jug-string-band-sessions-3/2026-09-29/
Boathouse Bluegrass Jam,"The Boathouse Jam every Wednesday evening 6-8:30 April-Oct. Just come, bring an acoustic instrument. The Boathouse Jam is hosted by the Gowanus Dredgers Canoe Club to activate our shoreline while fostering the continued resurgence of acoustical collaborations in Brooklyn. We are inclusive of all – young & old, new & seasoned musicians. Just bring a smile and your musical instrument and/or your voice to join our one night makeshift band. Free but a $5 suggested donation is encouraged, limited beverages are provided. The Boathouse is located at 165 2nd Street, Brooklyn NY between Bond Street and the Gowanus Canal. Sessions are rain or shine, we gather outside the Boathouse unless it’s cold or raining then we move inside. Since 1999, the Dredgers have empowered people to care for the Gowanus Canal through advocacy, conservation, and education. Our organization promotes waterfront stewardship and is raising awareness of sewer overflow issues that affect our Gowanus Canal in Brooklyn, NY. More information on all the Boathouse Jams HERE",2026-09-30,,2026-09-30,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/boathouse-bluegrass-jam-2/2026-09-30/
On Location with Artichoke Dance | Robin Michals,"On Location with Artichoke Dance is a solo exhibition by Brooklyn-based photographer Robin Michals. Curated by Pam Wong, the exhibit showcases photographs of Artichoke Dance Company performing the Immersive Performance Tours of Gowanus conceived by Lynn Neuman in 2021, and co-hosted annually with various environmental and social justice organizations. The photographs on view feature Artichoke dancers moving through Gowanus in space and time and include images at the defunct Salt Lot in 2021 and the new 420 Carroll Street development in 2026. Michals merges the genres of dance photography and urban landscape photography in vibrant shots that capture the performances as well as the evolution of the neighborhood. The photos juxtapose the dancers as they work together to create patterns and shapes against a backdrop of the transforming waterfront. The photos offer an interpretation of the performances as a positive vision of urban life that values art, collaboration, and environmental awareness. In addition, there is a portrait of Neuman, in costume, on the tipping floor at SIMS Municipal Recycling, taken for Michals and Neuman’s collaborative project Waste Side Story. Michals and Neuman met in 2018 through a residency offered by Works on Water and Underwater New York on Governors Island. Michals, who had been working on environmental issues for 15 years, was struck by Lynn’s upcycling of plastic bags into costumes, and the pair began to work together to make images of a dancer wearing the costumes at locations that reflect the lifecycle of plastics from production to various end points including landfills and oceans. Several of these images were exhibited at The Old Stone House in 2021. Robin shifted her focus to dance photography after the pandemic, starting with her work with the Times Square Project in 2020 and 2021. For Robin, photographing the Artichoke Dance tours is an incredible opportunity to bring together her longstanding love of urban landscape photography and her much more recent, but no less profound, love of dance photography. —————- ON LOCATION WITH ARTICHOKE DANCE On view Saturdays: Sept 12, 19, 26 and Oct 3 from 1-5pm ON LOCATION WITH ARTICHOKE DANCE Programs: Sept. 12 (2:00–2:30pm): Video screening of Immersive Performance Tour Highlights: 2021–2026 with Artichoke Dance Company Sept. 12 (2:30-4:30pm): Join a guided tour using the Gowanus Augmented Reality Walking Tour App featuring animated virtual environments of the past as visual overlays on the canal-scape, as well as the Underground Waterways Soundwalk where voices from the past murmur and sing, led by Sarah Drury, Project Director. iPads and headphones provided, or download to your iPhone. The 20-minute tour will be available from 2:30-4:30pm. Sept. 19 (2:00pm): Pop-up performance by Artichoke Dance Company Sept. 26 (2:00pm): Pop-up performance by Artichoke Dance Company Sept. 26 (2:30pm): Role of the Arts in Change Making: A Conversation with Naturally Occurring Cultural Districts of New York Oct. 3 (2:00pm): Pop-up performance by Artichoke Dance Company —————- About the Artist: Robin Michals is a photographer who specializes in dance and performance. She is completely omnivorous when it comes to dance with an interest in all forms from folkloric to street dance. Her clients include the international Human Rights Arts Festival and the Queensboro Dance Festival among many others. In 2025, she had a public installation of photos of dancers at the party Vinyl Nights in Albee Square in Downtown Brooklyn, sponsored by Downtown Brooklyn Partnership. Her work has also been in numerous publications including Hyperallergic, Queens Chronicle, and Time Out. Before shifting her focus to performance, she spent 15 years documenting environment issues including climate change and the fossil fuel industries. She was raised in Manhattan and moved to Brooklyn in the last century. Robin has taught photography at City Tech, CUNY, where her students are from all over the world, for 23 years. For more info: www.robinmichals.com About Artichoke Dance: Artichoke Dance Company, based in Brooklyn, NY, is known for innovative and engaging performances paired with environmental activism, education, community building and civic engagement. Previous large-scale projects have addressed plastic pollution mitigation on Coney Island, single use plastic bags in New York, sea level rise and climate migration, the remediation of the Gowanus Canal, river revitalization in Los Angeles, and water use and rights in the desert southwest. Under the Direction of Lynn Neuman, Artichoke Dance Company also annually produces an Eco-Arts Festival during NYC Climate Week on Governors Island, bringing visual and performing arts and climate consciousness together through participatory workshops, exhibitions, and performances. Neuman began Artichoke’s Immersive Performance Tours of Gowanus drawing on her many years of experience organizing with the Gowanus Neighborhood Coalition for Justice. Artichoke’s ecoarts activism training program, Artichoke Ambassadors, and fellowship program, Arts Incubator for Change Making, trains and mentors the next generation of ecoarts activists. Incorporated as a non-profit in 1999, Artichoke Dance has held 23 New York seasons and toured nationally and internationally. For more info: www.artichokedance.org.",2026-10-03,,2026-10-03,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/on-location-with-artichoke-dance-robin-michals/2026-10-03/
FREE Walk-Up Paddling - 2nd St.,"Hop into a Gowanus Dredgers canoe and paddle at your own pace inside the protected Gowanus Canal. Enjoy discovering the canal’s unique mix of wildlife and urban waterway infrastructure, practice your paddling skills, or take a guided audio tour and learn more about the history, cleanup and revitalization of our favorite urban waterway. We’ll outfit you with a life jacket (which must be worn at all times) and paddle, offer some basic instruction on how to paddle and safety tips on how to use a canoe, and help you set off on your own self-guided journey. Trips may be limited to 20 minutes if there’s a crowd — but usually we just expect you to return to the dock 15 min. prior to closing. Who can participate? Paddling is for everyone! Free walk-up canoeing is open to all ages. Groups, families, solo paddlers, and intrepid first dates are all welcome! Minors require a guardian’s signature to participate, and all participants must sign a waiver. What should I wear? Dress for the weather: wear sunscreen, hats, and bring a water bottle — and bring layers if there’s a breeze! Close-toed shoes are recommended, and wear clothing you don’t mind potentially being splashed. Is it really free? Yes! But donations are encouraged to help us continue offering these and other programs. Can I volunteer? Yes! You can sign up to volunteer here. No prior experience is required, but we love return volunteers! Note: Volunteer shifts run from 30-minutes before the start of the program through the first two hours, or from the middle of the program to 30 minutes after the end of the scheduled time.",2026-10-03,,2026-10-03,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/__trashed-22/
FREE Walk-Up Paddling - 2nd St.,"Hop into a Gowanus Dredgers canoe and paddle at your own pace inside the protected Gowanus Canal. Enjoy discovering the canal’s unique mix of wildlife and urban waterway infrastructure, practice your paddling skills, or take a guided audio tour and learn more about the history, cleanup and revitalization of our favorite urban waterway. We’ll outfit you with a life jacket (which must be worn at all times) and paddle, offer some basic instruction on how to paddle and safety tips on how to use a canoe, and help you set off on your own self-guided journey. Trips may be limited to 20 minutes if there’s a crowd — but usually we just expect you to return to the dock 15 min. prior to closing. Who can participate? Paddling is for everyone! Free walk-up canoeing is open to all ages. Groups, families, solo paddlers, and intrepid first dates are all welcome! Minors require a guardian’s signature to participate, and all participants must sign a waiver. What should I wear? Dress for the weather: wear sunscreen, hats, and bring a water bottle — and bring layers if there’s a breeze! Close-toed shoes are recommended, and wear clothing you don’t mind potentially being splashed. Is it really free? Yes! But donations are encouraged to help us continue offering these and other programs. Can I volunteer? Yes! You can sign up to volunteer here. No prior experience is required, but we love return volunteers! Note: Volunteer shifts run from 30-minutes before the start of the program through the first two hours, or from the middle of the program to 30 minutes after the end of the scheduled time.",2026-10-04,,2026-10-04,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/__trashed-23/
A Persistence of Cormorants Poetry Reading,"A Persistence of Cormorants is a summer-long poetry reading series on our shoreline featuring accomplished and exceptional poets from the New York area, many of who live in Brooklyn. On each of the scheduled Sundays, from 1:30 to 3:30, up to four featured poets will read for 10 to 15 minutes each. Gerry reads poetry at the canal The readings will be followed by open mic time limited to ten readers (one poem no longer than 3 minutes) who have signed up the day of the reading on a first come basis. Reading will be outdoors at the Gowanus open shoreline and we invite you to engage with the emerging Gowanus Canal habitat as we witness the EPA conduct their SuperFUN/d cleanup program. Event may move to inside the boathouse if it begins to rain or we want to escape the summer heat. If other activity is occurring on the street or esplanade, event may move inside. Participation is free but we encourage donations to sustain the efforts of the Gowanus Dredgers Canoe Club, an advocacy stewardship organization who has been representing neighborhood interests for over two decades. May17 Linda Lerner, Patricia Carrigton, Abigail Welhouse, Bill Lessard June7 Susan Michele, Gregory Crosby, Melinda Wilson, Dennis Nurkse14 Donna Masini, Richard Smith, Maria Lisella, Elizabeth T Gray Jr.28 Elaine Sexton, Karen Hildebrand, Don Yorty, Judith Lee Herbert July12 David Katz, Estha Wiener, Shean Nevin, Katherine Swett19 Sarah Wallace, Ashley Mabitt, Zoe White, and Michael T. Young26 Broadstone Books: S.H. Case, Myra Malkin, Vera Salter, Stephanie Laterza, David Mills, Lucia Cherclu August2 Jiwon Choi, Amy Holman, Miranda Beeson, Sarah Sarai9 Kimiko Hahn, Joanne Solfrian, Sam Cha, Mervyn Taylor16 KGB: John Demming, Selena Spier, Tyler Allen, Penny Susan Lewis, Jada Gordon23 Karen Neuberg, Scott Hightower, Indran Amirthanayagam, Neil Shepard30 Titanic September13 Hilary Sideris, Tom Sleigh, Austin Alexis, Kristine Esser-Slentz20 Joanne McFarland, Ruth Danon, Brad Vogel, David Formanek27 Amy Lemmon, Jane Rosenberg LaForge, Richard Levine, Nicole Callihan October4 Lisa Andrews, Lisa Badner, Arden Levine, Anthony Capo11 Broadstone Books: Amy Barone, Margo Taft Stever, Billy Cancel, Mary Moloney",2026-10-04,,2026-10-04,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/a-persistence-of-cormorants-poetry-reading-3/2026-10-04/
